productName,Recency
Instant food products,12.771929824561404
UHT-milk,2.7330827067669174
abrasive cleaner,32.18181818181818
artif. sweetener,24.571428571428573
baby cosmetics,240.0
bags,162.5
baking powder,6.581818181818182
bathroom cleaner,35.5
beef,2.125730994152047
berries,2.757575757575758
beverages,3.3943661971830985
bottled beer,1.7333333333333334
bottled water,1.4302554027504912
brandy,18.105263157894736
brown bread,1.8383838383838385
butter,1.97289972899729
butter milk,3.1666666666666665
cake bar,8.079545454545455
candles,11.934426229508198
candy,3.766839378238342
canned beer,1.6751152073732718
canned fish,7.02970297029703
canned fruit,33.95238095238095
canned vegetables,9.413333333333334
cat food,4.67741935483871
cereals,16.928571428571427
chewing gum,4.460122699386503
chicken,2.3684210526315788
chocolate,2.484641638225256
chocolate marshmallow,12.5
citrus fruit,1.5689655172413792
cleaner,25.103448275862068
cling film/bags,10.357142857142858
cocoa drinks,44.0625
coffee,2.0919540229885056
condensed milk,7.966666666666667
cooking chocolate,40.666666666666664
cookware,39.76470588235294
cream,51.583333333333336
cream cheese ,2.5949820788530467
curd,1.9836512261580381
curd cheese,16.58139534883721
decalcifier,77.55555555555556
dental care,22.1875
dessert,2.5964285714285715
detergent,6.0588235294117645
dish cleaner,10.573529411764707
dishes,5.870967741935484
dog food,11.03076923076923
domestic eggs,1.8571428571428572
female sanitary products,17.05
finished products,12.678571428571429
fish,25.214285714285715
flour,5.417910447761194
flower (seeds),11.2
flower soil/fertilizer,33.5
frankfurter,2.1572700296735907
frozen chicken,123.8
frozen dessert,8.204545454545455
frozen fish,7.645161290322581
frozen fruits,56.27272727272727
frozen meals,3.447619047619048
frozen potato products,10.865671641791044
frozen vegetables,2.3483870967741933
fruit/vegetable juice,2.0082872928176796
grapes,4.084269662921348
hair spray,70.88888888888889
ham,3.3878504672897196
hamburger meat,2.757575757575758
hard cheese,3.9297297297297296
herbs,5.239130434782608
honey,55.84615384615385
house keeping products,16.204545454545453
hygiene articles,4.0
ice cream,3.5242718446601944
instant coffee,12.736842105263158
jam,21.294117647058822
ketchup,22.25
kitchen towels,23.633333333333333
kitchen utensil,503.0
light bulbs,25.892857142857142
liqueur,76.0
liquor,7.3232323232323235
liquor (appetizer),11.612903225806452
liver loaf,15.083333333333334
long life bakery product,3.3502304147465436
make up remover,142.8
male cosmetics,18.34285714285714
margarine,2.113372093023256
mayonnaise,10.169014084507042
meat,3.3674418604651164
meat spreads,20.742857142857144
misc. beverages,3.8663101604278074
mustard,8.344827586206897
napkins,2.767175572519084
newspapers,1.773170731707317
nut snack,34.095238095238095
nuts/prunes,22.903225806451612
oil,3.7422680412371134
onions,2.854901960784314
organic products,62.7
organic sausage,35.55
other vegetables,1.0947368421052632
packaged fruit/vegetables,5.688
pasta,6.274336283185841
pastry,1.528421052631579
pet care,8.864197530864198
photo/film,9.64
pickled vegetables,5.966942148760331
pip fruit,1.553648068669528
popcorn,15.27659574468085
pork,2.1058823529411765
pot plants,6.37719298245614
potato products,32.09090909090909
preservation products,669.0
processed cheese,5.223021582733813
prosecco,37.31578947368421
pudding powder,38.94117647058823
ready soups,41.86666666666667
red/blush wine,5.141843971631205
rice,15.041666666666666
roll products ,9.441558441558442
rolls/buns,1.1219135802469136
root vegetables,1.3218181818181818
rubbing alcohol,166.5
rum,24.1
salad dressing,106.0
salt,9.113924050632912
salty snack,3.1746724890829694
sauces,16.906976744186046
sausage,1.5929978118161925
seasonal products,7.0588235294117645
semi-finished bread,5.724409448818897
shopping bags,1.6545454545454545
skin care,32.94736842105263
sliced cheese,3.913978494623656
snack products,26.074074074074073
soap,36.35
soda,1.179902755267423
soft cheese,5.091549295774648
softener,17.48780487804878
soups,15.76086956521739
sparkling wine,16.318181818181817
specialty bar,3.9239130434782608
specialty cheese,10.257142857142858
specialty chocolate,3.658291457286432
specialty fat,23.724137931034484
specialty vegetables,62.54545454545455
spices,17.333333333333332
spread cheese,7.610526315789474
sugar,3.3518518518518516
sweet spreads,11.138461538461538
syrup,34.38095238095238
tea,26.692307692307693
tidbits,32.27272727272727
toilet cleaner,129.4
tropical fruit,1.381404174573055
turkey,10.0
vinegar,14.196078431372548
waffles,3.3548387096774195
whipped/sour cream,1.7374701670644392
whisky,79.25
white bread,2.5243055555555554
white wine,4.585987261146497
whole milk,1.0459770114942528
yogurt,1.2153589315525877
zwieback,12.448275862068966
